% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
3336	0	10	3	0	16	133	1	0	1	225.623
3336	0	10	6	0	16	133	1	0	1	121.892
3336	0	10	8	0	16	133	1	0	1	30.9944
3336	0	10	10	0	16	133	1	0	1	46.1354
3344	0	6	2	0	16	133	2	0	1	1266.5
3344	0	6	3	0	16	133	2	0	1	51752
3344	0	6	6	0	16	133	2	0	1	4980.76
3344	0	6	8	0	16	133	2	0	1	225.623
3344	0	6	10	0	16	133	2	0	1	479.364
3344	0	7	2	0	16	133	2	0	1	479.364
3344	0	7	3	0	16	133	2	0	1	4980.76
3344	0	7	6	0	16	133	2	0	1	1266.5
3344	0	7	8	0	16	133	2	0	1	121.892
3344	0	7	10	0	16	133	2	0	1	225.623
3344	0	8	2	0	16	133	2	0	1	225.623
3344	0	8	3	0	16	133	2	0	1	1266.5
3344	0	8	6	0	16	133	2	0	1	479.364
3344	0	8	8	0	16	133	2	0	1	72.4241
3344	0	8	10	0	16	133	2	0	1	121.892
3344	0	9	2	0	16	133	2	0	1	121.892
3344	0	9	3	0	16	133	2	0	1	479.364
3344	0	9	6	0	16	133	2	0	1	225.623
3344	0	9	8	0	16	133	2	0	1	46.1354
3344	0	9	10	0	16	133	2	0	1	72.4241
3344	0	10	2	0	16	133	2	0	1	72.4241
3344	0	10	3	0	16	133	2	0	1	225.623
3344	0	10	6	0	16	133	2	0	1	121.892
3344	0	10	8	0	16	133	2	0	1	30.9944
3344	0	10	10	0	16	133	2	0	1	46.1354
3352	0	6	2	0	16	133	3	0	1	1266.5
3352	0	6	3	0	16	133	3	0	1	51752
3352	0	6	6	0	16	133	3	0	1	4980.76
3352	0	6	8	0	16	133	3	0	1	225.623
3352	0	6	10	0	16	133	3	0	1	479.364
3352	0	7	2	0	16	133	3	0	1	479.364
3352	0	7	3	0	16	133	3	0	1	4980.76
3352	0	7	6	0	16	133	3	0	1	1266.5
3352	0	7	8	0	16	133	3	0	1	121.892
3352	0	7	10	0	16	133	3	0	1	225.623
3352	0	8	2	0	16	133	3	0	1	225.623
3352	0	8	3	0	16	133	3	0	1	1266.5
3352	0	8	6	0	16	133	3	0	1	479.364
3352	0	8	8	0	16	133	3	0	1	72.4241
3352	0	8	10	0	16	133	3	0	1	121.892
3352	0	9	2	0	16	133	3	0	1	121.892
3352	0	9	3	0	16	133	3	0	1	479.364
3352	0	9	6	0	16	133	3	0	1	225.623
3352	0	9	8	0	16	133	3	0	1	46.1354
3352	0	9	10	0	16	133	3	0	1	72.4241
3352	0	10	2	0	16	133	3	0	1	72.4241
3352	0	10	3	0	16	133	3	0	1	225.623
3352	0	10	6	0	16	133	3	0	1	121.892
3352	0	10	8	0	16	133	3	0	1	30.9944
3352	0	10	10	0	16	133	3	0	1	46.1354
3448	0	6	2	0	16	133	0	1	1	1266.5
3448	0	6	3	0	16	133	0	1	1	51752
3448	0	6	6	0	16	133	0	1	1	4980.76
3448	0	6	8	0	16	133	0	1	1	225.623
3448	0	6	10	0	16	133	0	1	1	479.364
3448	0	7	2	0	16	133	0	1	1	479.364
3448	0	7	3	0	16	133	0	1	1	4980.76
3448	0	7	6	0	16	133	0	1	1	1266.5
3448	0	7	8	0	16	133	0	1	1	121.892
3448	0	7	10	0	16	133	0	1	1	225.623
3448	0	8	2	0	16	133	0	1	1	225.623
3448	0	8	3	0	16	133	0	1	1	1266.5
3448	0	8	6	0	16	133	0	1	1	479.364
3448	0	8	8	0	16	133	0	1	1	72.4241
3448	0	8	10	0	16	133	0	1	1	121.892
3448	0	9	2	0	16	133	0	1	1	121.892
3448	0	9	3	0	16	133	0	1	1	479.364
3448	0	9	6	0	16	133	0	1	1	225.623
